title,url,discounted_price,original_price
"HOMTOM HT16 MTK6580 Quad-core 5"" HD Android 6.0 3G Phone 3000mAh P05-HT16",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/homtom-ht16-mtk6580-quad-core-5-hd-android-60-3g-phone-3000mah-p-160760.html,$53.99,$69.99 
"ONDA V919 Air CH 9.7"" Win10 Dual OS Z8300 4GB 64GB Tablet PC w/ HDMI ETC-486132",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/onda-v919-air-ch-97-win10-dual-os-z8300-4gb-64gb-tablet-pc-w-hdmi-p-156659.html,$185.99,$472.99 
Glasses Type 20X Magnifier with White LED Light DJA-493367,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/glasses-type-20x-magnifier-with-white-led-light-p-157244.html,$4.61,$5.64 
"QCONG METAL 5.5"" FHD MTK6753 Octa-core Android 5.1 4G Phone 3GB RAM P04-QCONG",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/qcong-metal-55-fhd-mtk6753-octa-core-android-51-4g-phone-3gb-ram-p-162261.html,$119.99,$239.00 
"CUBOT MAX 6.0"" HD MTK6753A Octa-core 64-bit Android 6.0 4G Phone P04-CUMAX",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/cubot-max-60-hd-mtk6753a-octa-core-64-bit-android-60-4g-phone-p-161097.html,$135.99,$286.99 
"Xiaomi 3D Glasses Virtual Reality Box for 4.7 - 5.7"" Smart Phones E-519649",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/xiaomi-3d-glasses-virtual-reality-box-for-47-57-smart-phones-p-161563.html,$14.90,$16.43 
10pcs Colorful Rose Flower Plant Seeds TDS-378192,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/10pcs-colorful-rose-flower-plant-seeds-p-145998.html,$1.10,$2.84 
NEXBOX A95X S905X 2GB+16GB Android6.0 Kodi16.1 BT4.0 4K Android TV Box E-518579,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/nexbox-a95x-s905x-2gb16gb-android60-kodi161-bt40-4k-android-tv-box-p-161133.html,$55.99,$61.85 
"HOMTOM HT20 MTK6737 Quad-core 4.7"" HD Android 6.0 4G LTE Phone P05-HT20",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/homtom-ht20-mtk6737-quad-core-47-hd-android-60-4g-lte-phone-p-161353.html,$106.99,$226.99 
XIAOMI REDMI NOTE 4 MTK6797 Deca-core 16GB ROM Android 6.0 4G Phone P03-HMNO4,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/xiaomi-redmi-note-4-mtk6797-deca-core-16gb-rom-android-60-4g-phone-p-161394.html,$172.99,$278.00 
"ZTE Z7 MAX 5.5"" FHD Snapdragon 801 Quad-core Android 5.1 4G Phone P05-Z7MAX",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/zte-z7-max-55-fhd-snapdragon-801-quad-core-android-51-4g-phone-p-140762.html,$106.99,$349.99 
"LENOVO ZUK Z2 5.0"" FHD 4GB RAM Snapdragon 820 Android 6.0 4G Phone P05-ZUKZ2",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/lenovo-zuk-z2-50-fhd-4gb-ram-snapdragon-820-android-60-4g-phone-p-160359.html,$215.99,$298.99 
"HOMTOM HT17 PRO 5.5"" HD MTK6737 Quad-core Android 6.0 4G Phone P05-HT17P",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/homtom-ht17-pro-55-hd-mtk6737-quad-core-android-60-4g-phone-p-161009.html,$93.99,$119.99 
Upgraded 1m Magnetic Charge Cable + Detachable Micro USB Metal Plug EPACB-492606,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/upgraded-1m-magnetic-charge-cable-detachable-micro-usb-metal-plug-p-157114.html,$2.79,$6.55 
20 in 1 Stainless Steel Keychain Pocket Survival Emergency Gear S-517385,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/20-in-1-stainless-steel-keychain-pocket-survival-emergency-gear-p-160681.html,$3.09,$6.77 
50Pcs VTIE Elastic Lazy No-Tie Shoelace Fit All Unisex Sneakers STH-518335,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/50pcs-vtie-elastic-lazy-no-tie-shoelace-fit-all-unisex-sneakers-p-161014.html,$4.86,$6.76 
5pcs High Quality Stainless Steel Wire Circle Key Rings SCH-330480,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/5pcs-high-quality-stainless-steel-wire-circle-key-rings-p-134377.html,$1.60,$3.53 
"K6000 HD 1080P 2.4"" TFT Vehicle Blackbox DVR Camcorder RCM-519296",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/k6000-hd-1080p-24-tft-vehicle-blackbox-dvr-camcorder-p-161554.html,$11.83,$15.46 
L18 Умный браслет Кровяное давление Пульс для Android/IOS Телефона E-470781,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/37°-l18-smart-bracelet-blood-pressure-heart-rate-f-androidios-phone-p-156228.html,$18.87,$19.55 
"LEAGOO SHARK 1 6.0"" FHD MTK6753 64-bit Octa-core Android 5.1 4G Phone P04-SHARK1",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/leagoo-shark-1-60-fhd-mtk6753-64-bit-octa-core-android-51-4g-phone-p-158553.html,$165.99,$199.99 
OUKITEL K6000 PRO Android 6.0 4G Phone + Flip Cover + Screen Protector KB-515063,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/oukitel-k6000-pro-android-60-4g-phone-flip-cover-screen-protector-p-159436.html,$158.99,$219.99 
